,comment,sentiment,
1923,sourav bhai maggie kilani thi us bd wale uncle ko,suggestion,
1924,beauty of nature for kanishka gupta,appreciation,
1925,hi ken great video i recently finished my master s in applied analytics but the data science learning journey is never over i really appreciate your insight and perspective on the field of data science and sports analytics keep up the great work,appreciation,
1926,he s good,appreciation,
1927,hello ken and kate love the energy candid discussion and authentic personality that shines i am signed up for the conference kate it should be fun,appreciation,
1928,those scrambled eggs look way better than the other video lol i ll have to try the basting method with the next dried egg,appreciation,
1929,thanks ken got a clear idea of how to go about learning data science following along with you on the daysofdata challenge,appreciation,
1930,mins into the video i hit the subscribe button youtube s algo sure has great timing great work keep it up,appreciation,
1931,this is great being curious is one of the first steps but the meaning of why give clarity i will never look that two datasets same again,appreciation,
1932,iska matlabbhendi mat khao bhendi sabji ghar me nahi lanaa,normal,
1933,kushagra s set was,appreciation,
1934,maheep sir was bestt,appreciation,
1935,good place i want to go,appreciation,
1936,another natural beauty,appreciation,
1937,fantastic gordon sir,appreciation,
1938,awesome video picked up on a couple of things i never would have guessed also the personal website through github is something id defintely look forward to seeing cheers,appreciation,
1939,i loved the fact that you went to depaul and started this channel im planning to apply for a masters in ds myself ive learned a lot about sports analytics on this channel and im hoping to start a channel myself one day,appreciation,
1940,kushagra best ever in this entire panel,appreciation,
1941,great content as always thanks man,appreciation,
1942,worth it brother,appreciation,
1943,nice scrambled eggs,appreciation,
1944,the prime minister the direct connection to god,appreciation,
1945,including badges will be pretty dope d will be looking forward to it ken,appreciation,
1946,love this video really inspiring,appreciation,
1947,thanks for your effort man,appreciation,
1948,super helpful video as usual ken i just happened to be starting a github profile and doing my first project so this came at the perfect time,appreciation,
1949,shreeja kushagra and bassi absolutely killed it,appreciation,
1950,great interview thanks ken i loved learning about faang interviews,appreciation,
1951,found your chanel these days and cannot wait to code this project over christmas holidays and learn a lot along the way this looks like a very quality series great content i especially like that we see the whole iterative process of a project and the googling and looking things up and everything very nice,appreciation,
1952,i dont think its gonna die anytime soon companies which uses data to grow their business have a significant upper hand on businesses who dont so even if the new entrepreneurs dont want to use data they still will have to use it otherwise they are gonna get beaten easily by their competitors who are using it and the fact that people give away their data you need someone to analyse that so data science is probably on the rise in my opinion no doubt at all,appreciation,
1953,i love u piyush,appreciation,
1954,thanks for the great video ken this can definitely help me out because ill be interning as a data analyst at the federal reserve bank of san francisco tech stack is python r sql and tableau for econometric modeling and i hope to use your advise for when i transition to either a more senior data analyst role past the entry level or even switch to become an actually data scientist once i go into industry,appreciation,
1955,this video is a gem i m just browsing about game videos and this popped out and un knowingly solved my problems thank you,appreciation,
1956,very cute gameplay ajju bhai,appreciation,
1957,i totally agree with your points,appreciation,
1958,thanks for video,appreciation,
1959,good planting the egg,appreciation,
1960,love the explanation of what ds is currently it feels to me like the most interesting work is where the limits of our understanding math and the limits of computing power meet forcing innovations great vid as always,appreciation,
1961,commenting code is just like data cleaning the one part of the process no one likes to do xd great review combining fields is something i never really thought about but that is really great advice the new haircut looks nice as well,appreciation,
1962,i love watching you cook your food is amazing,appreciation,
1963,thats the best way to respond to our questions please,suggestion,
1964,rahul gandi sir you have won our heart you have been raisinh the issue of public problem in the parliament i love you sir app nai modi ka kam pura public mai bataya agay baro sir modi is not good,appreciation,
1965,bhai ye part ka liya like to ban ta hai,appreciation,
1966,great leader mrrahul gandhi ji,appreciation,
1967,hello jonathan bro apne voice sand kar do please is id per please,suggestion,
1968,very good they don t any latest google tv to compare with,appreciation,
1969,maheep sir op,appreciation,
1970,excelente video ken yo llevo meses aprendiendo ciencia de datos y es una profesi n incre ble me siento muy feliz de haber aprendido sobre esto el pr ximo a o mi meta es tener un nivel b de ingles y usare tus videos para lograrlo muchas gracias,appreciation,
1971,the view of srinagar from sankrachary temple is amazing i visited on march and also view of sonmarg,appreciation,
1972,thank you keen for this series ill be thankful if ill see more videos from you good job man,appreciation,
1973,valuable information as usual,appreciation,
1974,this is a highly valuable and useful video thanks a ton ken,appreciation,
1975,bhoot hai bhai like karo,appreciation,
1976,really mahu s great lady,appreciation,
1977,amazing analogy ill definitely borrow this when i need to explain what data science is,appreciation,
1978,bro sos song future you in the varsh,,
1979,ea video vlog nehi ea movie he good video,,
1980,thank you for your sharing its very helpful,appreciation,
1981,just wait and watch you will see nishant as an air gate,appreciation,
1982,excellent video i hope could followe your advice and the track you propose btw great desk,appreciation,
1983,thank you for the good video,appreciation,
1984,kerala heaven on planet earth highly civilised people religious harmony lovely landscape big salute,appreciation,
1985,this video helped me a lot thanks,appreciation,
1986,kerala coconut oil famousgood traditional tourist good,appreciation,
1987,this is dope bro seeing you through the process is priceless good job ty,appreciation,
1988,hi ken your video really inspires me a lot keep up the good work and hope i will be as good as you one day,appreciation,
1989,great news i would like to watch the journey of this great team through this peoject,appreciation,
1990,excellent information video my friend new friend here thank you very much for sharing,appreciation,
1991,i love the natural and realistic rhythm and pace of your videos and explanations no flashy cinematics nor unnecessary distractions been watching your videos for a while now with another gmail account and they re one of my favorites keep up the good work saludos desde buenos aires,appreciation,
1992,i put basil in my scrambled eggs taste amazing,appreciation,
1993,awesome and inspirational video let me continue my practicing journey as i wait for your days of data video,appreciation,
1994,duuuuuude i was rockin a for three years of college now i am about to finish a mechanical engineering degree with a gpa learning to learn is definitely a process now i am almost halfway done with the google analytics course and i m doing ml in days thanks for your videos information and inspiration,appreciation,
1995,hello mr ken keep going brother my well wished will always be with you i hope one day i will be successful just like you,appreciation,
1996,wow im just starting too id love to join you on this im currently working through the harvardx cert john hopkins lined up afterwards ill squeeze in your courses too as appropriate,appreciation,
1997,kushagra bhai killed it dhup and pandemic line was epic,appreciation,
1998,awesome bhaiya where a lot of people ignoring you are exploring,appreciation,
1999,rahul ne mirchi lgadi esi ayodhya k nam se mota bhai ko uthna pda,normal,
2000,very nice sir dil se,appreciation,
2001,you are genius,appreciation,
2002,thanks bhai bata ne keliye mujhe laga chota hota he hamne ajj lene jana he,appreciation,
2003,i honestly came here because i just started learning about data science and was considering it as a career opportunity and this video was great for helping me not only feel informed on how much education is needed but also that the market is saturated im leaving a saturated job market so thats really important to me thank you,appreciation,
2004,hello everyone if youre new and looking for an online mentor kenn is the best his channel is everything you need to get a data scientist perspective ive learned so much from him and i feel so overwhelmed by the fact that he despite being so busy with his schedules has done so much for the upcoming generations love you ken just wanted to appreciate you,appreciation,
2005,best video on internet,appreciation,
2006,took part in your first days of data and that led me to your discord where i got the help i needed to do some projects that landed me my first job working with sports data for the betting industry based on creating a predictive betting model for darts currently starting another project in a different area which could one day form its own company,appreciation,
2007,amazing looking forward to see the final product,appreciation,
2008,i seen your first beautiful video and i love it so much and i subscribed you after watching your video,appreciation,
2009,hey there wanderlusters just watched your awesome video on the quot most beautiful countries in europequot and i m seriously blown away loving how you re showing us that incredible european charm without breaking the bank keep these budgetfriendly adventures coming you re making our travel dreams a reality,appreciation,
2010,awesome stuff thanks a ton very helpful to understand how to approach,appreciation,
2011,thank you for this video sir,appreciation,
2012,its amazing to see and know about it ken,appreciation,
2013,es video k liye apka bohat bohat dhanyawad ji,appreciation,
2014,i concur nice tips,appreciation,
2015,you have saved us hours of selfexploration thank you ken d hope you can make more videos like this,appreciation,
2016,opposition zindabadbravo bravo this is naya hindustan,appreciation,
2017,the amount of research he does,appreciation,
2018,bhai dupatta kafhi acha h,appreciation,
2019,loving your channel a lot ken will definitely take your course once i brush up on basic skills and knowledge keep it up man,appreciation,
2020,i haven t watched kushagra and maheep till now but now i know they are the best comics until i watched hats off guys,appreciation,
2021,finally harry vai talking about real payout numbers,appreciation,
2022,haha thats hilarious guys,appreciation,
2023,you and andrew are the only youtubers who reply to every comment dude just always be like you are now humble,appreciation,
2024,amazing video who even disliked it not me haha i hit the like button i completely smashed it,appreciation,
2025,cool guide man im currently in uni going through a data science undergrad program and although im learning really technical modeling and visualization tools we really only apply them in a sanitized scientific setting love the insights on ds in the workforce,appreciation,
2026,your videos are raw and genuine you have earned a subscriber today,appreciation,
2027,europe is so special and beautiful,appreciation,
2028,your voice is so relaxing,appreciation,
2029,sreeja was the best,appreciation,
2030,mam please make videos on some frameworks also your javascript videos are superb it helps a lot,suggestion,
2031,such a great video thank you for your time and information i am new to your channel and here i go to subscribe my biggest goal is to be a data scientist in marine animals world i wish i can work with organizations that are specialized in dealing with marine world projects,appreciation,
2032,ajju bhai team op,appreciation,
2033,i ve just made this for my cooking channel small hopefully i didn t make a balls of it burnt my finger making it my family enjoyed the dish,appreciation,
2034,many many congratulations for opposition party in parliament,appreciation,
2035,hello friends please support me,suggestion,
2036,thanks ken intro music is superb,appreciation,
2037,great advice ken ill be going for bachelor of data science in the following month and this have been very useful as i wanna prepare before jumping into bachelors thanks for the video,appreciation,
2038,great content really appreciate your work brother,appreciation,
2039,kya baat hai thank you doctor saab,appreciation,
2040,thanks for this awweeeeeesomeeeee videoyoure the best,appreciation,
2041,this time the entire india team played a very constructive role we are proud of you guys,appreciation,
2042,maheep sir and kushagra were the best,appreciation,
2043,gordon fucking ramsey,normal,
2044,i love this python programming,appreciation,
2045,amazinggg youre so great ken thank you again ive told all my ds homies about you thank you,appreciation,
2046,i love your content,appreciation,
2047,really great no other country there in the whole world that is it all the best go on,appreciation,
2048,loving this series definitely going to take notes on these videos so i have steps and a nice framework to follow when i put together my own data science project currently trying to build out my portfolio in order to get a job i have been doing some followalong tutorials to familiarize myself with some technologies i would like to learn python pandasscikitlearn tensor flow pyspark and then airflow eventually i would like to create an endtoend project using a combination of these technologies keep the videos coming man thanks,appreciation,
2049,for me most beautiful country is greece coz i live there,appreciation,
2050,the one video of yours that a few are watching and everyone should watch,appreciation,
2051,that last piece of advice at the end has never been more true keep up the great work,appreciation,
2052,resep yang bagus cukup sederhana,,
2053,thanks ken for the work from home tips agree with you that a dedicated work space helps to boost productivity what also works for me is a good background music as a sort of white noise helps to be in the zone,appreciation,
2054,kushagra faad diya bhai,appreciation,
2055,sir ma class ka student ho ma bi ap ka python course dakh raha ho sachi ma bohot acha ha or maza bi a raha ha,appreciation,
2056,hey the present dataset on kaggle has some changes in it so is it a good thing i replicated this regression and i have gained much from it this playlist is really promoting me to explore more and more as i am getting many questions which is really good for growth as always thank you very much for the video,appreciation,
2057,thats a lot of books i love reading and this is right up my alley thanks for the recommendations,appreciation,
2058,i watched every ad all the way through not sure if that helps your monetization or not but you out a ton of care into thisyou should be rewarded for it this is fanatic thank you,appreciation,
2059,hey ken just want to say thanks for putting out so much good content i m currently working on my first real world project through school for a local company and having channels like yours to reference is a life saver,appreciation,
2060,this kind of videos is extremely helpful for beginners although im still very early in this ds journey ive just started learning math and statistics it helps me understand what i need to be able to do in the future thanks ken,appreciation,
2061,sir sir please save poor human,normal,
2062,shreeja is too good,appreciation,
2063,no one can beat samay raina episode,appreciation,
2064,amazing portfolio great review ken,appreciation,
2065,the nature is wow,appreciation,
2066,best of luck nikki wale show me hota collg shows vesa lgara hai ye show similar vibes,appreciation,
2067,again i am so grateful for everyone who has supported this channel i look forward to being a part of your data science journey going forward,appreciation,
2068,love the way you put on things so clearly,appreciation,
2069,okayy this so awesomeeee now i will watch whole video ps i am only halfway through,appreciation,
2070,thank you most realistic information,appreciation,
2071,i got my first data science job and i start on,appreciation,
2072,thank you for giving us a wonderful insight into the countrieswe both were very useful,appreciation,
2073,ajju bhai boss of the freefire world s,appreciation,
2074,apka video dekh kar mujhe bhahut acha laga or dil ko vi sukun mila,appreciation,
2075,after years of suffering for free i ma take your advice and start turning into money i mean experience,appreciation,
2076,quotmummy kaisi hai was epic quot,appreciation,
2077,i m from india and huge fan of yours,appreciation,
2078,kushagra nailed it,appreciation,
2079,this is so cool thanks for sharing ken,appreciation,
2080,nice information thanks dr sahab,appreciation,
2081,you are a life saver,appreciation,
2082,im truly happy for you for all the amazing content you make wish you all the best ken,appreciation,
2083,well done k plus subscriber s in months like the food you made will give it a go with some mods not a fan of sweet taste also subscribed keep up a great work mate,appreciation,
2084,very very nice video thank you,appreciation,
2085,thank you ken for your contents i recently got data science course with your discount link because i noticed some basic knowledge gap from learning in an unstructured manner i hope to polish my skills and get a job before the year winds up thank you,appreciation,
2086,rahul gandhi op sab ka bolti band,appreciation,
2087,i love it when the video is exactly whats on the title no dragging and down to the point thank you sir,appreciation,
2088,respect for kushagra,appreciation,
2089,this is great walkthrough for beginner like me thanks ken jee,appreciation,
2090,big thankeww sir,appreciation,
2091,all can t think of an ugly country,normal,
2092,mahua moitra ma am and rahul gandhi sir jii you both had given such an eccentric and impeccable speech,appreciation,
2093,great episode once again my learnings is to create a journal to write down what you re learning how you did it and what next and i ll take it a step further and share it with the world thank you for sharing this conversation,appreciation,
2094,fire it was best parliament speech so far,appreciation,
2095,man you re doing a great job i just found your channel and found it very interesting with decent amount of insightful contents that i will look into cheers and keep it up subscribed im beginning my data scientist journey,appreciation,
2096,aamir khan is a great actor,appreciation,
2097,it s great to be able to watch and listen to someone who s gone through what you re currently trying to get through i m also going to do a nd masters in business analytics starting in the fall and i ve been trying to get a lot of practical experience via personal projects and some really good online resources from coursera and dataquest it s pretty cool to get reminded of the big picture like this and i look forward to watching the rest of your videos and new releases thanks for the awesome content and for providing clarity to those in pursuit of their dreams,appreciation,
2098,beautiful and wonderful place kerala,appreciation,
2099,im very excited to start the daysofdata initiative on september you can follow along with me and also participate on twitter discord server resources im using videos i referenced kaggle data science off monthly or off one year hands on machine learning practical statistics for data scientists how to approach almost any ml problem where to start learning data science best free online courses interview with abhishek,appreciation,
2100,good morning sir main th class mein padhati hun nios syllabus se kya mujhe software course mein admission mil sakta hai admission mil sakta hai,question,
2101,hi ken love your work and it really helps me a lot i hope you can review my resume and give me some insight thank you,appreciation,
2102,is there a text recipe,question,
2103,hi ken i am struggling to find an affordable desktop computer or laptop no more than usd that would help me open and use ides and other tools fast and comfortably i would really appreciate it if you could give me your recommendations as my laptop is really slow thank you,question,
2104,are you currently a data scientist,question,
2105,is there any mlops course,question,
2106,can u please explain how hourly was annual done like why we multiplied by,question,
2107,what i am confused on data science and ai with the development of web is if the data are publicly available i guess more like believe the owner of the data would be kept anonymous although there is plenty of data out in the web how would the business make strategies to reach to their audiencescustomers wouldnt it be like televisionradionewspaper ads also how would the services reach to their probable new customersaudiences basically how would ai work for recommendation and how would business collect data to grow their business i dont think the recommendation system would be like throwing anything to the public what they want people to see not what people want to see facebook and youtube are not hurt,question,
2108,is most code for almost all projects just copied from one source or another and we just change the parameter values like epochs or batchsize or is there something else regarding making projects,question,
2109,can you please guide on some of the good it coursescertifications where coding skills are not required,question,
2110,have you ever did eda on your own linkdin profile i came across this in linkdin feed where they do eda and make dashboard on your own linkdin data,question,
2111,what advice would give to for someone interested in data science but is currently pursuing a cs degree,question,
2112,hi ken would you choose studying master in statistics or data science if you had to start over,question,
2113,can t we do dsa in java,question,
2114,bro help kar do ki id open ho jaye,question,
2115,ken what i have found is all these online projects learnings mostly gives variables and ask to predict a th one but in the real world it s very difficult to goto that level of identifying a problem and later identifying a approach to solver a problem until now i have not seen any course teaching that your advice on this,question,
2116,hey ken im from india i still have three left until the completion of my college degree i just now learnt python i wanna purse my career in data science so where should i start from thank you,question,
2117,hey ken regarding getting a masters degree i am confused on which to pursue ms data science ms stats and data science ms information technology i want to get into a data science career path but i am worried that data science would be a fad and i would be struggling to land jobs upon graduation most of the job descriptions for a data scientist i encountered requires ms in computer science statistics etc,question,
2118,bhi le kon sa koy suggest karo best camera and processor hona chahiye koy btaw,question,
2119,what dish is he making even this was years ago,question,
2120,rainy season main dahi nahin lena kion,suggestion,
2121,can i learn typescript after getting my first dev job or should i start learning immediatly,question,
2122,please can you make video on this how to choose algorithm for machine learning,suggestion,
2123,thanks for good advices id like to work in future as a data scientist but the essential element for me is having a partner to learn or do something together and i wonder where can i find a group of people to do a project together,question,
2124,can i take gate mathematics exam after bsc math and if i crack gate what is the benefits if i am be a year bsc program student,question,
2125,what do you think of the webdev demand in the future,question,
2126,hi ken i ve graduated from communication and media studies i have some basic practical skills in programming with python in your opinion what should i choose a bootcamp or a master,question,
2127,how can we submit a resume for review,question,
2128,wait so does employers expect every software dev to know all these stuff or just one of them,question,
2129,hi i would like to know how to get fake and real labeled news using twitterscrapper first of all is it possible to do something like that i am very new to this,question,
2130,picnic spots nearest to our residence is cheapest time money saving option,question,
2131,tu vas jouer roblox un jour,,
2132,what are you doing,question,
2133,hi thank you for your videos and you are doing an amazing job i am working towards becoming a data analyst not a data scientist i would like to know if i should follow the same course as someone who is willing to become a data scientists or should i study different courses i tried ibm professional data scientist and it was almost a waste of time,question,
2134,i just feel like he doesn t use salt or seasoning much,normal,
2135,which is best lg uq this samsung crystal,question,
2136,iq z turbo lunch date,question,
2137,helo sir is there any differrance between data science degree and data base mangement degree,question,
2138,kon kon abi bhi mere tarha gb ram phone use karte ho,question,
2139,bhai tv ka model no kya hai please reply dena,question,
2140,since you can integrate data science in business can you make data science a business like an ai company or is that not data science,question,
2141,where are you,question,
2142,hi ken i m a year old in highschool and i just finished a course on data a science on udemy i have attempted a few projects on kaggle and they ve worked out pretty well do you have any advice on how i can progress further and some goals i can work towards,question,
2143,does it have a mm audio out jack just wanted to check as you skipped nd port just below usb,question,
2144,is it same vedant agrawal im thinking,question,
2145,js ya python,question,
2146,how many minutes you cook the chicken pls,question,
2147,when is iqoo z turbo launching in india,question,
2148,ken jee can you link the dataset here,question,
2149,actually i don t understand the days of data do we share our progression like everyday but each one on his own or what if there s a video like describing it more then can anyone refer it to me also i really like how you talk about overcoming the comfort zone or the fear of digging into projects cause yeah it s very true,question,
2150,cyber security or data science which one is better i have heard people saying cyber security is recession free career even in this pandemic most of cyber guys got even hike soc or cyber audit roles would you recommend to someone as a fresher or data analyst is good option,question,
2151,bro this is top maybe you have already said it and im mistaken but i havent been able to find it in your videos what kind of projects would you recommend for getting a data analyst job ive seen the data scientist recommendations but i suppose they are not the same i would really appreciate it although i know you are busy thank you for everything,question,
2152,will a bachelors degree in kinesiology and masters in public health be helpful in a field like data analytics ive taken classes like bio stats i enjoy fitness sports performance etc i consider myself a sports junkie i hear in data science employers want a masters degree but what if in another field thats not data science,question,
2153,hey ken thanks for another great video i have a question about projects on resumes i am struggling to think of ways to quantify the purpose of projects beyond just the results of different machine learning models because the results are not really put to use after finding them there is no real quantitative impact to put on the resume such as a increase in sales is it necessary or suggested to have this for your projects if so what ways might you go about restructuringexpanding upon data science projects to address their possible lack of usability,question,
2154,hi ken jee just a quick question what s the best way to scrap data from more than urls in a short period of time i have a project where every url takes around sec to extract data but the urls are sooo damn many that it takes ages is there any solution to this problem,question,
2155,poco x pro n infinix gt pro who is best,question,
2156,bro what about realme narzo pro,question,
2157,thank you for the candid review of your career ken offtopic question i noticed in the description you listed the webcam and some other stuff you use would you mind letting me know what video recording and editing software youre using im thinking of turning some ds projects into videos and hosting them online for prospective employers have a great weekend,question,
2158,ajju bhai please mere sath ek custom aa jao plzz this is my dream,question,
2159,ye log kya khel rahe hai,question,
2160,hi thanks for sharing with us this tips at the moment i m studying physics degree and also learning python skills apart from the ones taught in the university i don t know if i m in the right path to become a data scientist is the physics degree useful for it,question,
2161,i m bsc cs passout in can i am eligible to start coding career,question,
2162,can you suggest a good youtube channel or website for learning a good amount of python for data science,question,
2163,kindly help me with,question,
2164,how can they forget belgium in this list with brussels capital of europe antwerp once the center of europe and bruges called the venice of the north,question,
2165,bhaia maina mca krni h es saal ai ml or cloud computingdevops em dono me sa kesma specialisation krna zada sahi reha ga please help bhaiachoose krne k liya zada din nai hn,question,
2166,thanks for guiding us but i am facing an issue in opening the roadmap link its not opening,question,
2167,is still working got the error imapunorderediterator object has no attribute writeto cant find a solution,question,
2168,please who got a job in data science without a master degree,question,
2169,what are you pressing after you select the code to see what it spits out,question,
2170,hi love to watch your content and am really interested in having a career in football analytics or cricket analytics i am learning data analytics through online courses and planning to get an internship in sports analytics firm is that fine or do i need to look for a degree in sports,question,
2171,bhaiya i am a arts students i completed my graduation during my graduation i completed year of diploma in software programmer now i am very confused should i continue my study or start self learning for software developer if i want to continue my education in tech should i take admission in bca or mca is it good to continue bca from ignuo i am highly confused,question,
2172,hey what is the complete process of becoming the data scientist,question,
2173,can anyone help me to get job in front end development it would be greatfull i am passout,question,
2174,hi ken thank you for your all useful videos honesty you should teach too got a question for you im and taking my data science certification now and planning to get to data science bootcamp would love to know what do you think is that a good idea to take bootcamp right after my certification,question,
2175,where did you buy the glass lunch box,question,
2176,oneplus t looks exciting with big battery and camera display is also good but i want to see stereo speaker is there or not,question,
2177,hi ken how about a more detailed video on the different ways to assess the accuracy of the model,question,
2178,do i need degree to be a frontend developer,question,
2179,bhai mae ek tv kharidna chahta hu but market mae bhut option hae but i am confused,question,
2180,what kind of pan are you using,question,
2181,ok i really wish was explained morewhat are you doing here excatly this seems to be right where i start getting confused,question,
2182,what isare its difference with sports statistics,question,
2183,thanks for the video i run the following tweets querytweetstrump begindate begindateenddateenddatelimitlimitlanglang info queries trump since until info got tweets new received tweets would you happen to know why,question,
2184,but is it too late to become a data science youtube influencer,question,
2185,does it require you to be a graduate or drop out can also land a job in aiml engineering,question,
2186,hey i have just stumbled upon your channel as i was trying to find some good resources regarding data science i am currently a third year student doing a computer scene degree with integraded masters next year i have the option to choose some optional modules like machine learning technologies or foundations of data science what do you think i should take should i take the ml course and try to understand data science in my free time i can only take one of those sorry for the long comment your countent is great and i cant wait to see some more stuff from you,question,
2187,ken can you make a video on some books recommendation to start in data science from your personal experience,question,
2188,he not a fan of eggy bread wouk hp sauce then,normal,
2189,dear indians who is right here,question,
2190,kitne din ki trip plan krni hongi yeh sari jagah ghumne ke liye,question,
2191,how to get high paying job in data science field,question,
2192,what pans are these,question,
2193,andar ache camera amp battery life wala phone suggest kardo for vlogging amp editing plz,suggestion,
2194,how many days are enough to cover all these places,question,
2195,what should i do if i want to build a chess ai that teaches itself along the lines of alpha zero,question,
2196,hi there ken i really appreciate your content i am a biomedical scientist who is beginning to use rstudio do you have any suggested freely available content like that described in this video for the r platform which you feel is really solid or underrated,question,
2197,one question a very first day of learning and i am land to this video is it worth if i cross educate myself,question,
2198,kya ham without doing bca sirf full stack developer ka course krke software engineer bn sakte hh,question,
2199,thanks a lot ken can you please suggest some books to read for data science thanks,question,
2200,do you need a masters degree cos it seems a lot of people are running to data science and ai masters programs,question,
2201,june mei snow tha kya waha par,question,
2202,love the chicken stir fry at the start what could i use in place of the broccoli cant always get tenderstem,question,
2203,great video ken and i really enjoy your channel at around mark you said you probably wouldnt recommend betting on sports in the first place would you mind elaborating on that and explain why you wouldnt keep making these good informative videos thanks,question,
2204,waiting for oneplus t,appreciation,
2205,i am in a serious dilemma should one go striaght for deep learning or practise machine learning thnx for the help and love ur videos,question,
2206,ok so i ve been wanting to get into baseball analytics because i have a friend who is in the field and it is very intriguing i m only a junior in high school right now how should i get started,question,
2207,okay but how much flour,question,
2208,what are daily tasks of ai engineer,question,
2209,ken jee masters in computer science also ken jee im not a full blown computer person,normal,
2210,kaise pagal lekar aaye bhai yeh kya baatyegi yeah yeah,trolling,
2211,bhai aapki video trending me kyu nahi jaati,question,
2212,your body is green on minecraft so what is,question,
2213,if i buy this now will i get the cooler,question,
2214,meet or kis konse veg ke sath nhi pka kr nhi khana chahiye zaroor btana,question,
2215,will you also upload youtube videos on what you are learning,question,
2216,do i have to be a software developer or a data analyst first to break into data science or can it be done directly through a masters program or certifications,question,
2217,samsung k uhd kaiss hai bhaiya,question,
2218,samsung mobiles kon sa acha hota processor me,question,
2219,hi is it ok to use pip in anaconda prompt,question,
2220,ab modi modi nhi kar rha kya hua,trolling,
2221,how to get high package from tier colleges b tech,question,
2222,hi ken jee and data professor thanks so much for this video its so helpful i was able to add featured images to sections of my portfolio but when i tried using to add pictures of certifications and my resume the images are not showing up they only worked initially when i was hosting locally but now it doesnt work both locally and after hosting on github i am temporarily using dropbox links to show them but id appreciate if you could give suggestions on how to make it work thank you again,question,
2223,i have almost years exp in react i am learning java now my goal is to become a javareact fullstack dev is it a good path,question,
2224,realme pro plus vs realme gt tthinking to buy vs one plus ce which one is best allround must buy mobile is,question,
2225,i have started exploring on kaggle the countless different ways people solve their problems can be so overwhelming its like an endless ocean any tips on how to overcome this,question,
2226,hey ken i am just a beginner and i wasnt able to understand why should the variables follow a normal distribution in order to apply regression loving the content so far thanks,question,
2227,wifi support sigle band or dual band,question,
2228,whats the book under the oreilly one at your data science desk,question,
2229,camera kitna hai aur kaise hai sahi se bataye,question,
2230,if u were team dream,question,
2231,hi i am a self taught learner also can you suggest the best resources for front end too because i have heard that many good programmers face difficulties in front end side tia,question,
2232,pending army bharti per kuchh baat kro sir,question,
2233,thank you sir ji aapne bahut aachi jankari di hai mera saval hai ke mere badan par aur gardan par til hote hai iska ilaaj bataye,question,
2234,love your content buddy i wanted to know what are your thoughts on ibm data science course offered by coursera because i have undertaken this course and many others have as well i just wanted to know where will it take me,question,
2235,sir python for datascience learn on youtube or online free course,question,
2236,sir our provident fund interest amount not credited for the fy why please help,question,
2237,please also explain git bash to people who use windows,suggestion,
2238,hey ken is it possible to become a data scientist with a bachelor in cis and a master degree in data science or business analytics thx,question,
2239,is this series enough for btech colleges affiliated with aktu,question,
2240,where should i start if i want to start from the basics,question,
2241,is it android or tizen,question,
2242,really clear description until now i have found the model deployment step really tiring and complex is it necessary to master if i want to become a ml engineer,question,
2243,another super helpful video thanks ken do you mind sharing a link to your kaggle profile id love to explore some more of your work,question,
2244,next kab aa raah h,question,
2245,hello sir hope you are doing fine despite this pandemic the question im gonna ask might be irrelevant to this video but it is about data science i was wondering is there any international data science societies where students can be a part of to improve our skills if yes could you please name some thank you,question,
2246,hey ken random question do you know if python is supported on anaconda yet i cant seem to get my environment variable working,question,
2247,i thought it s porsche one,normal,
2248,what about using uncle bens or sharwoods sauces,question,
2249,do you guys recommend any math,question,
2250,ye tv main pc connect karne k bad cpu ki zaroorat padegi kya,question,
2251,,  ,
2252,dear ken i could not open the medium article it seems that i should have the membership is there any other way to share that article,question,
2253,prep the rice mins or i dont understand your accent,normal,
2254,kya nokia inch hd hdadnvvee model tb segate hard disk ko support karta hai yadi karta hai to ek video is per bhi banaa dijiye,question,
2255,dbms kay hai please basic samjha please,question,
2256,i m just getting more into cooking and it seems very common for the chefpresenter to not specify what temp they re cooking at am i missing some common knowledge are those scrambled eggs being cooked at a high temp on and off or a low temp with editing making it seem like it won t take long,question,
2257,i have a degree in health informatics is studying data analytics would be helpful for me,question,
2258,i have ordered neo inch is it better than that,question,
2259,how to learn practically for example applying the theories in practical real life examples thanks,question,
2260,hey ken i have done my ug in computer science years ago currently an esports coach starting my masters degree in esports this fall i want to be able to track player performance using game data also analysing game data which will help me give a deeper understanding of of my teams performance so far i have been doing this in a very pain staking method of gathering a few key points of data and the comparing them on paper i am confused as to if i should start certificate programs or just start learning a software such as sql or python id really appreciate to hear your suggestion,question,
2261,hi ken i am currently getting my masters in data science however i have extensive experience as a soccer coach and exercise sciencerehab science i would like to combine my passions for sport and biomechanics with ds is this a realistic goal any recommendations,question,
2262,hey i am planning to do my masters from canada currently do it engineering from india and i wanna go for a data science course i have one internship in data sc and still learning data science but i have seen many of the canada universities offer courses like data analytics data analytics in business data science are these good to go for if you are planning to become a data scientist,question,
2263,is it possible to use hours and minutes in addition to the date to get the tweets from a specific period of time i have been trying to play with it and i am not sure if there is a particular dtfunction that needs to be used,question,
2264,hello ken i love your videos i have a question how i can know if i am ready for applying to internships or not i have done few online courses on data science and worked on some projects during the course but still i have low confidence which always stops me from applying to internships,question,
2265,where can i get that oversized shirt at the end of your video,question,
2266,waaat this video is age restricted,question,
2267,is it okay to visit in month of november,question,
2268,what should my career path be to attain a job on sports analytics after completing msba program i have heard msba is less programming intensive as compared to ms in data science how much does that impact in getting a job in sports analytics,question,
